Name,Stadt,Type,Land,Kontakt,Name
STV Metzingen,Metzingen,Stadt,Baden-Württemberg,N,
Stadtverwaltung Waghäusel,Waghäusel,Stadt,Baden-Württemberg,N,
Stadt Laupheim,Laupheim,Stadt,Baden-Württemberg,N,
Regierung von Unterfranken,von Unterfranken,Stadt,Bayern,N,
STV Ingolstadt,Ingolstadt,Stadt,Bayern,N,
LH München,München,Stadt,Bayern,N,
STV Rosenheim,Rosenheim,Stadt,Bayern,N,
LRA Altötting,Altötting,Stadt,Bayern,N,
LRA Bad Tölz,Bad Tölz,Stadt,Bayern,N,
LRA Dachau,Dachau,Stadt,Bayern,N,
LRA Ebersberg,Ebersberg,Stadt,Bayern,N,
LRA Erding,Erding,Stadt,Bayern,N,
LRA Freising,Freising,Stadt,Bayern,N,
LRA Fürstenfeldbruck,Fürstenfeldbruck,Stadt,Bayern,N,
LRA Garmisch-Partenkirchen,Garmisch-Partenkirchen,Stadt,Bayern,N,
LRA Landsberg,Landsberg,Stadt,Bayern,N,
LRA Miesbach,Miesbach,Stadt,Bayern,N,
LRA Mühldorf a. Inn,Mühldorf,Stadt,Bayern,N,
LRA München,München,Stadt,Bayern,N,
LRA Pfaffenhofen,Pfaffenhofen,Stadt,Bayern,N,
LRA Rosenheim,Rosenheim,Stadt,Bayern,N,
LRA Starnberg,Starnberg,Stadt,Bayern,N,
LRA Traunstein,Traunstein,Stadt,Bayern,N,
LRA Weilheim-Schongau,Weilheim-Schongau,Stadt,Bayern,N,
LRA Weilheim-Schongau 1,Weilheim-Schongau,Stadt,Bayern,N,
STV Landshut,Landshut,Stadt,Bayern,N,
STV Passau,Passau,Stadt,Bayern,N,
STV Straubing,Straubing,Stadt,Bayern,N,
LRA Deggendorf,Deggendorf,Stadt,Bayern,N,
LRA Kelheim,Kelheim,Stadt,Bayern,N,
ZAB Mittelfranken,Mittelfranken,Stadt,Bayern,N,
ZAB Oberfranken,Oberfranken,Stadt,Bayern,N,
ZAB Oberfranken 2,Oberfranken,Stadt,Bayern,N,
Reg. v. Mfr. Zentr. Stelle f. d. Einwanderung von Fachkräften,v. Mfr. Zentr. Stelle f. d. Einwanderung von Fachkräften,Stadt,Bayern,N,
ABH FA Regierung von Mittelfranken,FA Regierung von Mittelfranken,Stadt,Bayern,N,
ZAB Oberbayern München,Oberbayern München,Stadt,Bayern,N,
ZAB Oberbayern AS: Ingolstadt,Oberbayern AS: Ingolstadt,Stadt,Bayern,N,
LRA Landshut,Landshut,Stadt,Bayern,N,
ZAB Niederbayern,Niederbayern,Stadt,Bayern,N,
LRA Passau,Passau,Stadt,Bayern,N,
LRA Regen,Regen,Stadt,Bayern,N,
STV Amberg,Amberg,Stadt,Bayern,N,
Stadt Regensburg,Regensburg,Stadt,Bayern,N,
